EG_GH_ID YEAR MONTH DAY TIME  D   F
L3AS0001 2024 12    31  13:00 180   1
L3AS0001 2024 12    31  13:10 183   1
L3AS0001 2024 12    31  13:20 178 1,3
L3AS0001 2024 12    31  13:30 176  ,8
L3AS0001 2024 12    31  13:40 173  ,9
L3CHEB01 2024 12    31  13:00 181 3,2
L3CHEB01 2024 12    31  13:10 182 3,1
L3CHEB01 2024 12    31  13:20 190 3,2
L3CHEB01 2024 12    31  13:30 199 2,7
L3CHEB01 2024 12    31  13:40 210 2,8
L3KLIN01 2024 12    31  13:00 225 4,6
L3KLIN01 2024 12    31  13:10 231 4,6
L3KLIN01 2024 12    31  13:20 233 4,4
L3KLIN01 2024 12    31  13:30 233 4,5
L3KLIN01 2024 12    31  13:40 240 4,5
L3KVAL01 2024 12    31  13:00 299 1,6
L3KVAL01 2024 12    31  13:10 289 1,3
L3KVAL01 2024 12    31  13:20 288 1,1
L3KVAL01 2024 12    31  13:30 288 1,1
L3KVAL01 2024 12    31  13:40 292   1
L3SIND01 2024 12    31  13:00 167 1,1
L3SIND01 2024 12    31  13:10 175 1,4
L3SIND01 2024 12    31  13:20 125  ,4
L3SIND01 2024 12    31  13:30 150 1,1
L3SIND01 2024 12    31  13:40 161   1
O1BELO01 2024 12    31  13:00 247 2,1
O1BELO01 2024 12    31  13:10 247 1,8
O1BELO01 2024 12    31  13:20 252 2,5
O1BELO01 2024 12    31  13:30 256 2,4
O1BELO01 2024 12    31  13:40 254 2,6
O1BILA01 2024 12    31  13:00 274 1,6
O1BILA01 2024 12    31  13:10 266  ,9
O1BILA01 2024 12    31  13:20 281 2,1
O1BILA01 2024 12    31  13:30 269 1,7
O1BILA01 2024 12    31  13:40 274 1,2
O1BOHU01 2024 12    31  13:00 196 2,8
O1BOHU01 2024 12    31  13:10 198 2,6
O1BOHU01 2024 12    31  13:20 190 2,4
O1BOHU01 2024 12    31  13:30 202 2,5
O1BOHU01 2024 12    31  13:40 219 2,5
O1CERV01 2024 12    31  13:00 236 7,5
O1CERV01 2024 12    31  13:10 236 7,9
O1CERV01 2024 12    31  13:20 238 7,6
O1CERV01 2024 12    31  13:30 238   8
O1CERV01 2024 12    31  13:40 238 7,8
O1FMSV01 2024 12    31  13:00 258 2,3
O1FMSV01 2024 12    31  13:10 257 2,2
O1FMSV01 2024 12    31  13:20 284 1,5
O1FMSV01 2024 12    31  13:30 285 1,4
O1FMSV01 2024 12    31  13:40 272 1,9
